kpi_name,indicator_id,commodity,net_achievement,net_annual_target,stakeholder_disaggregation,results_new,results_continued,targets_new,targets_continued,year,project_name,country
# targeted producers with new or improved access to markets,G058,Combined,0,23000,Unspecified,0,0,23000,,2023,Acting Now - Kenya,Kenya
# targeted producers with new or improved access to markets,G058,Combined,0,46000,Unspecified,0,0,23000,23000,2024,Acting Now - Kenya,Kenya
# targeted producers with new or improved access to markets,G058,Combined,76447,70000,Unspecified,28197,48250,24000,46000,2025,Acting Now - Kenya,Kenya
# targeted producers with new or improved access to markets,G058,Combined,0,3000,Unspecified,0,0,,3000,2026,Acting Now - Kenya,Kenya
# Farmers that implement Good Practices,GP018,Combined,0,23000,Unspecified,0,0,23000,,2023,Acting Now - Kenya,Kenya
# Farmers that implement Good Practices,GP018,Combined,48749,46000,Unspecified,48749,0,23000,23000,2024,Acting Now - Kenya,Kenya
# Farmers that implement Good Practices,GP018,Combined,76946,70000,Unspecified,28197,48749,24000,46000,2025,Acting Now - Kenya,Kenya
# Farmers that implement Good Practices,GP018,Combined,0,3000,Unspecified,0,0,,3000,2026,Acting Now - Kenya,Kenya
# of farmers trained,GP026,Combined,13992,16800,Male,13992,0,16800,,2023,Acting Now - Kenya,Kenya
# of farmers trained,GP026,Combined,24235,16800,Male,10243,13992,,16800,2024,Acting Now - Kenya,Kenya
# of farmers trained,GP026,Combined,33054,16800,Male,8819,24235,,16800,2025,Acting Now - Kenya,Kenya
# of farmers trained,GP026,Combined,3378,16800,Male Youth,3378,0,16800,,2023,Acting Now - Kenya,Kenya
# of farmers trained,GP026,Combined,3888,16800,Male Youth,510,3378,,16800,2024,Acting Now - Kenya,Kenya
# of farmers trained,GP026,Combined,6230,16800,Male Youth,2342,3888,,16800,2025,Acting Now - Kenya,Kenya
# of farmers trained,GP026,Combined,25572,25200,Female,25572,0,25200,,2023,Acting Now - Kenya,Kenya
# of farmers trained,GP026,Combined,35210,25200,Female,9638,25572,,25200,2024,Acting Now - Kenya,Kenya
# of farmers trained,GP026,Combined,47561,25200,Female,12351,35210,,25200,2025,Acting Now - Kenya,Kenya
# of farmers trained,GP026,Combined,5308,11200,Female Youth,5308,0,11200,,2023,Acting Now - Kenya,Kenya
# of farmers trained,GP026,Combined,6308,11200,Female Youth,1000,5308,,11200,2024,Acting Now - Kenya,Kenya
# of farmers trained,GP026,Combined,10993,11200,Female Youth,4685,6308,,11200,2025,Acting Now - Kenya,Kenya
# of farmers trained,GP026,Combined,0,720,Female Youth,0,0,,720,2026,Acting Now - Kenya,Kenya
# of farmers trained,GP026,Combined,0,480,Male,0,0,,480,2026,Acting Now - Kenya,Kenya
# of farmers trained,GP026,Combined,0,1080,Male Youth,0,0,,1080,2026,Acting Now - Kenya,Kenya
# of farmers trained,GP026,Combined,0,720,Female,0,0,,720,2026,Acting Now - Kenya,Kenya
# of local Service Providers supported to provide services and inputs,G041,Combined,4,15,Undefined,4,0,15,,2023,Acting Now - Kenya,Kenya
# of local Service Providers supported to provide services and inputs,G041,Combined,4,15,Undefined,0,4,,15,2024,Acting Now - Kenya,Kenya
# of local Service Providers supported to provide services and inputs,G041,Combined,4,15,Undefined,0,4,,15,2025,Acting Now - Kenya,Kenya
# of local Service Providers supported to provide services and inputs,G041,Combined,2,0,Adult Male Led,2,0,,,2023,Acting Now - Kenya,Kenya
# of local Service Providers supported to provide services and inputs,G041,Combined,2,6,Adult Male Led,0,2,6,,2024,Acting Now - Kenya,Kenya
# of local Service Providers supported to provide services and inputs,G041,Combined,6,6,Adult Male Led,4,2,0,6,2025,Acting Now - Kenya,Kenya
# of local Service Providers supported to provide services and inputs,G041,Combined,4,4,Adult Female Led,4,0,0,4,2025,Acting Now - Kenya,Kenya
# of local Service Providers supported to provide services and inputs,G041,Combined,1,0,Youth Male Led,1,0,,,2023,Acting Now - Kenya,Kenya
# of local Service Providers supported to provide services and inputs,G041,Combined,1,0,Youth Male Led,0,1,,,2024,Acting Now - Kenya,Kenya
# of local Service Providers supported to provide services and inputs,G041,Combined,3,3,Youth Male Led,2,1,0,3,2025,Acting Now - Kenya,Kenya
# of local Service Providers supported to provide services and inputs,G041,Combined,1,0,Youth Female Led,1,0,,,2023,Acting Now - Kenya,Kenya
# of local Service Providers supported to provide services and inputs,G041,Combined,1,0,Youth Female Led,0,1,,,2024,Acting Now - Kenya,Kenya
# of local Service Providers supported to provide services and inputs,G041,Combined,2,2,Youth Female Led,1,1,0,2,2025,Acting Now - Kenya,Kenya
# of local Service Providers supported to provide services and inputs,G041,Combined,0,6,Adult Male Led,0,0,,6,2026,Acting Now - Kenya,Kenya
# of local Service Providers supported to provide services and inputs,G041,Combined,0,4,Adult Female Led,0,0,,4,2026,Acting Now - Kenya,Kenya
