form,group,name,type,label,choice_list,choices,in_repeat
Form2_KE,disclaimer,type_of_data,select_one,What type of data are you proceeding with?,tj7jb59,"yes__real_data_collection=Yes, real data collection; no__testing_data_collection=No, testing data collection",
Form2_KE,disclaimer,confidentiality,select_one,Confidentiality: Your identity and responses shall be treated with confidentiality and all the information you give will only be used for the purposes of this study. The information you share today is confidential. The data collected may be published as reports but we will not share your information with anyone else without your permission. Consent to participate in the study: You may choose to participate in the evaluation since participation is voluntary and you may opt to drop out of the interview at any stage. Do you allow me to continue with the interview?,um78x28,yes=Yes; no=No,
Form2_KE,farmer_details,farmer_ref_no,select_one_from_file,Select the farmer,,,
Form2_KE,farmer_details,farmer__sol_beneficiary_id,calculate,,,,
Form2_KE,farmer_details,farmer__names,calculate,,,,
Form2_KE,farmer_details,farmer__admin_level_2,calculate,,,,
Form2_KE,farmer_details,farmer__admin_level_3,calculate,,,,
Form2_KE,farmer_details,farmer__village,calculate,,,,
Form2_KE,farmer_details,farmer__cooperative_name,calculate,,,,
Form2_KE,farmer_details,farmer__enumerator_names,calculate,,,,
Form2_KE,farmer_details,farmer__phone_number,calculate,,,,
Form2_KE,farmer_details,farmer__total_seedlings,calculate,,,,
Form2_KE,tree_planting_progress,receive_seedlings,select_one,Did you receive any tree seedling as a result of Solidaridad support during all the seedling distributions done?,ve7kx08,yes=Yes; no=No,
Form2_KE,tree_planting_progress,reason_not_collect,text,Why did you not collect tree seedlings during all the distributions that was done & issued by Solidaridad?,,,
Form2_KE,tree_planting_progress,first_seed_num,integer,How many tree seedlings in total (cumulatively) did/have you receive since the first distribution?,,,
Form2_KE,tree_planting_progress,tree_species_received,select_multiple,What type of tree species did you take and have you received during the seedlings distribution?,jp3ip99,cordia_africana=Cordia Africana (Muringa); giant_bamboo=Giant Bamboo (Bamboo); grevillearobusta=Grevillea robusta (Mukima); dombeya_torrida=Dombeya torrida (Mukeu); sesbania_sesban=Sesbania sesban; calliandra_calothyrsus=Calliandra calothyrsus; azadirachta_indica=Azadirachta indica (Muharobaini); avocado=Avocado; apple=Apple; other=Other,
Form2_KE,tree_planting_progress,other_tree_species,text,Kindly specify the other type of trees species you received,,,
Form2_KE,tree_planting_progress,transfer_the_trees,select_one,How did you transfer the trees from the pick up point to the farm during/after distribution?,cr4uk86,pick_up_trucks_lorries=Pick-up trucks/Lorries; motorcycles__boda_bodas=Motorcycles (Boda bodas); vans=Vans; donkeys_ox_carts=Donkeys/Ox-carts; bicycles=Bicycles; wheelbarrows=Wheelbarrows; head_or_hand_carrying=Head or hand carrying; other=Other,
Form2_KE,tree_planting_progress,region_growth_comparison,select_one,How does the trees growth compare to the expected growth rate for the region?,zt18x83,very_good=Very Good; good=Good; same=Same; poor=Poor; very_poor=Very Poor,
Form2_KE,tree_planting_progress,reason_for_specific_growth,text,What is your reason for ${region_growth_comparison} growth rate?,,,
Form2_KE,tree_planting_progress,chall,select_one,Were there any challenges in planting the trees?,la9fj30,yes=Yes; no=No,
Form2_KE,tree_planting_progress,challenges_in_planting,select_multiple,What type of challenges did you experience in planting the trees?,zm2oe36,"weather=Weather conditions (Drought, floods e.t.c); soil_conditions=Soil conditions; pest___diseases=Pest & Diseases; physical_injuries_of_seedlings=Physical injuries of seedlings; theft=Theft; others=Others",
Form2_KE,tree_planting_progress,other_challenge_planting,text,Kindly specify any other general challenge while planting the trees?,,,
Form2_KE,survival_rate,species_name,select_one,Select specific type of tree species taken during the seedling distribution?,pj53y60,cordia_africana__muringa=Cordia Africana (Muringa); giant_bamboo__bamboo=Giant Bamboo (Bamboo); grevillea_robusta__mukima=Grevillea robusta (Mukima); dombeya_torrida__mukeu=Dombeya torrida (Mukeu); sesbania_sesban=Sesbania sesban; calliandra_calothyrsus=Calliandra calothyrsus; azadirachta_indica__muharobaini=Azadirachta indica (Muharobaini); avocado=Avocado; apple=Apple,Y
Form2_KE,survival_rate,amount_species_collected,integer,How many ${species_name} total seedlings did you collect for planting?,,,Y
Form2_KE,survival_rate,amount_species_planted,integer,How many ${species_name} seedlings did you plant?,,,Y
Form2_KE,survival_rate,species_not_planted,select_one,Are there any ${species_name} seedlings you did not plant?,ds7zr20,yes=Yes; no=No,Y
Form2_KE,survival_rate,amount_species_notplanted,integer,How many ${species_name} seedlings did you not plant?,,,Y
Form2_KE,survival_rate,reason_species_notplant,text,What was the main reason for not planting the ${species_name} seedling received?,,,Y
Form2_KE,survival_rate,amount_species_healthy,integer,How many ${species_name} seedlings are still alive and in a healthy condition?,,,Y
Form2_KE,survival_rate,tree_height,select_one,What is the average tree height of ${species_name} that is still alive and healthy?,vn4qq39,above_average_5m=Above average 5m; average_1_5_4m=Average 1.5-4m; below_0_1m=Below 0-1m,Y
Form2_KE,survival_rate,amount_species_dead,integer,How many ${species_name} seedlings are dead or damaged?,,,Y
Form2_KE,survival_rate,reason_species_death,text,What is the reason for death or damage?,,,Y
