,OR,OR_lo,OR_hi,p
Intercept,2.559,2.063,3.175,0.0
"C(species_c, Treatment(""Apple""))[T.Avocado]",1.717,1.111,2.653,0.015
"C(species_c, Treatment(""Apple""))[T.Azadirachta indica]",0.347,0.295,0.41,0.0
"C(species_c, Treatment(""Apple""))[T.Calliandra calothyrsus]",0.737,0.644,0.845,0.0
"C(species_c, Treatment(""Apple""))[T.Cordia Africana]",0.755,0.633,0.901,0.002
"C(species_c, Treatment(""Apple""))[T.Dombeya torrida]",1.31,1.132,1.515,0.0
"C(species_c, Treatment(""Apple""))[T.Giant Bamboo]",0.775,0.678,0.885,0.0
"C(species_c, Treatment(""Apple""))[T.Grevillea robusta]",1.16,1.004,1.341,0.044
"C(species_c, Treatment(""Apple""))[T.Sesbania sesban]",0.89,0.782,1.013,0.078
"C(admin3, Treatment(""Charagita""))[T.Kiriita]",1.023,0.843,1.242,0.819
"C(admin3, Treatment(""Charagita""))[T.Weru]",0.965,0.798,1.168,0.717
"C(transport_c, Treatment(""Head/hand/manual""))[T.Bicycle]",0.567,0.351,0.914,0.02
"C(transport_c, Treatment(""Head/hand/manual""))[T.Donkey/Oxcart]",0.964,0.794,1.172,0.716
"C(transport_c, Treatment(""Head/hand/manual""))[T.Motorcycle]",0.805,0.665,0.975,0.026
"C(transport_c, Treatment(""Head/hand/manual""))[T.Other]",0.983,0.632,1.527,0.938
"C(transport_c, Treatment(""Head/hand/manual""))[T.Vehicle]",0.664,0.492,0.896,0.007
"C(transport_c, Treatment(""Head/hand/manual""))[T.Wheelbarrow]",0.54,0.417,0.698,0.0
"C(growth, Treatment(""2_Good""))[T.1_VeryGood]",2.021,1.366,2.99,0.0
"C(growth, Treatment(""2_Good""))[T.3_Same_or_worse]",0.783,0.605,1.014,0.064
"C(training_received, Treatment(""Yes""))[T.No]",1.482,1.223,1.797,0.0
"C(wave, Treatment(""W1""))[T.W2]",0.598,0.523,0.682,0.0
"C(wave, Treatment(""W1""))[T.W3]",0.566,0.495,0.648,0.0
"C(wave, Treatment(""W1""))[T.W4]",0.478,0.398,0.575,0.0
